Order,Beta,Book Value Per Share,Cash Flow,Current Ratio,D/E Ratio,Date,Difference,Diluted EPS,EBITDA,Earnings Growth,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Forward P/E,Gross Profit,Held by Insiders,Held by Institutions,Market Cap,Net Income Avl to Common ,Operating Margin,PEG Ratio,Price,Price/Book,Price/Sales,Profit Margin,Return on Assets,Return on Equity,Revenue,Revenue Growth,Revenue Per Share,SP500,Shares Short (as of,Short % of Float,Short Ratio,Status,Ticker,Total Cash,Total Cash Per Share,Total Debt,Trailing P/E,Unix,sp500_p_change,stock_p_change
0,1.55,11.36,13850000000,3.2,54.36,8/2/2011 6:45,-2.492012939,2.52,11.89,85.2,13850000000,11.89,2.25,12.44,2930000000,0.25,82.1,13850000000,89000000,14.8,0.63,40,3.71,2.38,14.46,6.94,27,2.25,31.9,17.77,1254.050049,436000,1.4,1.2,underperform,a,2980000000,8.55,2150000000,16.18,1312281937,10.86701294,8.375
1,1.66,15.41,1320000000,2.55,44.12,5/14/2013 0:28,-31.13444021,3.13,10.75,22.2,15060000000,10.75,2.18,13.08,3600000000,0.23,83.2,15060000000,1100000000,15.69,2.07,43,2.83,2.19,15.96,6.85,22.38,2.18,2.8,19.85,1650.339966,437000,1.3,1.2,underperform,a,2450000000,7.06,2360000000,13.75,1368505738,45.90188207,14.76744186
2,1.81,14.46,1260000000,2.96,56.39,9/6/2013 6:09,-24.30761899,2.69,11.93,30.9,15860000000,11.93,2.32,15.09,3600000000,0.23,83.5,15860000000,93800000,14.04,2.16,47,3.31,2.32,13.73,5.98,19.41,2.32,4.1,19.8,1655.170044,278000,0.8,1.2,underperform,a,2330000000,7.04,2700000000,17.74,1378462192,46.32889559,22.0212766
3,1.808,14.078,2530000000,1.374,0.595,4/13/2004 4:20,0,1.375,10.8,53.7,36340000000,10.8,1.65,12.98,4020000000,1,79.36,29780000000,1190000000,8.44,1.26,34.26,2.41,1.33,6.4,4.52,10.66,1.65,11.4,25.638,1129.439941,1254000,1.46,2.497,underperform,aa,45900000,0.53,7310000000,24.92,1081844410,0,0
4,1.676,14.049,1780000000,1.372,0.561,9/9/2004 16:15,-3.186159081,1.575,9.7,53.7,35240000000,9.7,1.56,12.75,4020000000,1,76.64,28610000000,1370000000,9.46,1.43,32.89,2.34,1.26,7.04,5.08,11.87,1.56,11.4,25.984,1118.380005,778000,0.9,1.935,underperform,aa,46600000,0.54,6880000000,20.88,1094760945,-0.979240737,-4.165399818
5,1.736,14.36,2140000000,1.293,0.53,11/24/2004 10:37,-6.657405431,1.588,9.53,53.7,35370000000,9.53,1.52,13.49,4020000000,1.04,77.19,29230000000,1390000000,9.57,1.47,33.58,2.34,1.26,7.01,5.13,11.58,1.52,11.4,26.536,1181.76001,991000,1.15,2.209,underperform,aa,56100000,0.64,6650000000,21.15,1101310640,4.632390542,-2.02501489
6,1.736,14.36,2140000000,1.293,0.53,12/5/2004 0:36,-9.651668001,1.588,9.36,53.7,34750000000,9.36,1.49,13.2,4020000000,1.04,77.11,28600000000,1390000000,9.57,1.5,32.86,2.33,1.25,7.01,5.13,11.58,1.49,11.4,26.536,1190.329956,991000,1.15,2.209,underperform,aa,56100000,0.64,6650000000,20.69,1102225002,5.391168914,-4.260499087
7,1.611,15.207,2140000000,1.322,0.457,1/13/2005 7:18,-20.66260492,1.597,8.57,53.7,31510000000,8.57,1.34,11.96,4020000000,1.04,77.16,25630000000,1400000000,9.39,1.12,29.43,1.95,1.1,7.02,5.12,11.17,1.34,11.4,26.757,1177.449951,1281000,1.49,2.918,underperform,aa,45700000,0.52,6080000000,18.43,1105618712,4.250780255,-16.41182467
8,1.611,15.207,2140000000,1.322,0.457,2/7/2005 3:48,-23.04927716,1.6,8.5,53.7,31260000000,8.5,1.33,11.89,4020000000,1.04,75.67,25580000000,1400000000,9.39,1.39,29.37,1.92,1.08,7.02,5.12,11.17,1.33,11.4,26.757,1201.719971,1184000,1.37,1.892,underperform,aa,45700000,0.52,6080000000,18.39,1107766117,6.399634666,-16.64964249
9,2.28,14.66,20950000000,1.36,48.26,9/3/2011 9:21,-193.4198611,0.87,6.18,136.8,20950000000,6.18,0.89,8.6,3840000000,0.09,59.6,20950000000,94900000,8.2,0.28,12,0.85,0.57,4.04,3.05,6.55,0.89,27,22.58,1218.890015,5373000,5.1,1.9,underperform,aa,1270000000,1.19,9350000000,13.78,1315056083,7.919861053,-185.5
10,2.01,13.97,19100000000,1.36,50.93,11/2/2011 22:04,-252.2029969,0.95,5.29,182,19100000000,5.29,0.78,10.39,3840000000,0.09,59.6,19100000000,1060000000,8.64,0.34,10,0.74,0.45,4.31,3.41,7.22,0.78,21.4,23.44,1237.900024,6146000,5.8,1.5,underperform,aa,1340000000,1.25,9310000000,11.23,1320285887,9.602996942,-242.6
11,2.01,13.97,19660000000,1.36,50.93,11/5/2011 21:29,-252.2029969,0.95,5.45,182,19660000000,5.45,0.8,10.61,3840000000,0.09,59.6,19660000000,1060000000,8.64,0.34,10,0.78,0.47,4.31,3.41,7.22,0.8,21.4,23.44,1237.900024,6146000,5.8,1.5,underperform,aa,1340000000,1.25,9310000000,11.47,1320542964,9.602996942,-242.6
12,2.1,13.97,2420000000,1.36,50.93,1/2/2012 19:42,-339.59722,0.95,4.78,182,17240000000,4.78,0.7,9.83,3840000000,0.09,59.6,17240000000,1060000000,8.64,0.47,8,0.62,0.37,4.31,3.41,7.22,0.7,21.4,23.44,1257.599976,5686000,5.4,2,underperform,aa,1340000000,1.25,9310000000,9.08,1325551326,11.34722001,-328.25
13,1.96,13.21,2190000000,1.25,55.28,5/19/2012 11:51,-345.547078,0.37,5.8,69.5,17030000000,5.8,0.68,8.6,4470000000,0.06,63.4,17030000000,39800000,5.79,1.16,8,0.64,0.36,1.59,2.23,3,0.68,0.8,23.48,1324.800049,7231000,6.8,2.7,underperform,aa,1760000000,1.65,9740000000,23.1,1337442712,17.29707804,-328.25
14,1.86,12.5,1660000000,1.2,53.21,4/23/2013 20:02,-368.0343278,0.22,7.39,58.5,16070000000,7.39,0.68,10.4,3210000000,0.08,58.1,16070000000,24400000,3.06,2.6,8,0.65,0.37,1.05,1.11,1.36,0.68,2.9,22.03,1578.780029,7271000,6.8,4.9,underperform,aa,1560000000,1.45,8920000000,36.21,1366761777,39.78432776,-328.25
